id,1 category,2 sub_category,3 détail category,user_id,title,satisfaction,satisfaction_details,test_date,location,location_brand,category,sub_category,product,comment,note,visible,created_at,updated_at,product_name,product_brand
1,Fashion,Bags,,984,[Satisfaction Achat][Rimowa],Oui,Achat,8/28/2017,Orchard road,Rimowa,,,Luggage bag,I was very very impressed with the service of the staff. He is knowledgeable and approachable. Even though I was not serious about buying the product he was still obliging and explained to me I great details of the product. I was  very impressed with his friendly attitude and readiness to share his knowledge .,5,1,8/28/17 23:10,10/2/17 16:38,Luggage bag,Rimowa
2,Cybercommerce,Commercial website,,5025,[Satisfaction Achat][Zalora],Oui,Achat,8/12/2017,Singapour,Zalora,,,Online clothes shopping,"I bought 3 items online from Zalora, the quality is always as promised. I had to exchange 2 items for a different size however it was unavailable. i was immediately informed upon the returns that a refund will be made to my credit card. I honestly think that Zalora delivers a good service and are prompt with informing you of any delays.",5,1,8/29/17 17:37,10/2/17 16:53,Clothes' items,Zalora
3,Fashion,Ready-made clothes,,4804,[Satisfaction Achat][Style Theory],Oui,Achat,9/3/2017,Singapore,Style Theory,,Ready-made clothes,Clothes Sharing,"I ""refreshed"" my look for office and play without needing to spend a bomb on clothes and accessories, now that I can rent clothings off Style Theory app. 
So far, I have received compliments that the dresses I rented are of finer tastes. Very happy that I need not over-clutter my own wardrobe and yet get to rey out new clothes weekly.

Best of all, the clothings are packed beautifully, then sent to and collected from my doorstep - so convenient! And I do not need to wash the clothes before returning them, another plus for lazy me =)",5,1,9/3/17 20:31,10/5/17 17:34,Clothes rental,Style Theory
5, Cosmetics,Service in stores,,984,[Mécontentement Service][Bobby Brown make up counter],Non,Service,9/9/2017,"Singapore , Takashimaya",Bobby Brown make up counter,,Others,Unfriendly  staff,"When I approached the staff, she was busy talking to her colleague and show the unhappy face ... as if I have committed a big sin as to have interrupted her . She was not  approachable  and product knowledge are very minimal",1,1,9/12/17 7:56,10/5/17 17:37,,Bobby Brown counter
6, Cosmetics,Eye make-up,Mascara,6258,[Satisfaction Achat][It Mascara (Superhero)],Oui,Achat,9/18/2017,Singapore,It Mascara (Superhero),,Eye make-up,A Mascara - IT Superhero,It is super duper AWESOME!!. Costs your lashes evenly and is hard hard to wash off. Coated 3 layers of it and voila! it looks like I'm having lash extensions.,4,1,9/18/17 12:00,10/5/17 17:39,Superhero Mascara,IT Cosmetics
8, Cosmetics,Service in stores,,5681,[Satisfaction Conseil][Mac Cosmetics],Oui,Conseil,9/30/2017,Tangs,Mac Cosmetics,,Lips make-up,Prolong wear lip colour,I was assisted by a nice guy who knows the products very well. I was looking for a particular lipgloss that i cant find elsewhere. He was honest to say that there was a production issue hence it's not available. Other salespeople just said it's not available but did not elaborate on the reason that could've avoided inconvenience to customers,5,1,10/12/17 21:51,10/13/17 16:39,Prolong wear lip colour,Mac
9,Cybercommerce,Commercial website,,3113,[Satisfaction Achat][Lazada online],Oui,Achat,10/12/2017,Recherche Internet,Lazada online,,,Bread maker Machine,It is cheaper to purchase online. After service we can call the company hotline for help,5,1,10/12/17 21:55,10/13/17 16:41,Mayer,Mayer
10,Fashion,Shoes,,5474,[Mécontentement Achat][Sketchers],Non,Achat,10/12/2017,Serangoon,Sketchers,,Others,Shoes,It was not the budget I was looking for,4,1,10/12/17 22:13,10/13/17 16:44,Shoes,Sketchers
11,Household appliances,Small appliance,,4096,[Mécontentement Achat][Braun],Non,Achat,10/12/2017,Singapour 465459,Braun,,,Hairdryer,I thought hairdryer should work the same as Long the power is strong enough. I used to use Philips and decided to change the brand Braun. Now I am back to using Philip hairdryer. Somehow the feel is different and hair texture is better using Philip.,1,1,10/12/17 22:14,10/13/17 16:48,Hairdryer,Braun
12,Food,Shops,,3166,[Satisfaction Achat][Scape at Orchard],Oui,Achat,9/23/2017,Scape at Orchard,Scape at Orchard,,Others,Fish and chip set meal,"The set meal for 1 comes with a mushroom soup, a main course, and a drink. Food is very yummy and service is great. My toddler accidentally spilled my ice lemon tea on the floor. A service crew quickly came to clean it up and give me a replacement with no extra charges. i will visit again.",5,1,10/12/17 23:59,10/13/17 17:21,Original fish and chips,Fish Tales
